Nazwa miejscowości,Gmina,Powiat (miasto na prawach powiatu),Województwo,Identyfikator miejscowości z krajowego rejestru urzędowego podziału terytorialnego kraju TERYT
Aleksandrów Kujawski,Aleksandrów Kujawski m,aleksandrowski,kujawsko-pomorskie,985384
Aleksandrów Łódzki,Aleksandrów Łódzki,zgierski,łódzkie,958654
Alwernia,Alwernia,chrzanowski,małopolskie,314454
Andrychów,Andrychów,wadowicki,małopolskie,924023
Annopol,Annopol,kraśnicki,lubelskie,786213
Augustów,Augustów m,augustowski,podlaskie,977539
Babimost,Babimost,zielonogórski,lubuskie,988342
Baborów,Baborów,głubczycki,opolskie,965200
Baranów Sandomierski,Baranów Sandomierski,tarnobrzeski,podkarpackie,980352
Barcin,Barcin,żniński,kujawsko-pomorskie,928825
Barczewo,Barczewo,olsztyński,warmińsko-mazurskie,964577
Bardo,Bardo,ząbkowicki,dolnośląskie,983801
Barlinek,Barlinek,myśliborski,zachodniopomorskie,935268
Bartoszyce,Bartoszyce m,bartoszycki,warmińsko-mazurskie,964583
Barwice,Barwice,szczecinecki,zachodniopomorskie,949649
Bełchatów,Bełchatów m,bełchatowski,łódzkie,967647
Bełżyce,Bełżyce,lubelski,lubelskie,955555
Będzin,Będzin,będziński,śląskie,937899
Biała,Biała,prudnicki,opolskie,965223
Biała Piska,Biała Piska,piski,warmińsko-mazurskie,977640
Biała Podlaska,Biała Podlaska m,Biała Podlaska,lubelskie,922018
Biała Rawska,Biała Rawska,rawski,łódzkie,977019
Białobrzegi,Białobrzegi,białobrzeski,mazowieckie,973286
Białogard,Białogard m,białogardzki,zachodniopomorskie,949690
Biały Bór,Biały Bór,szczecinecki,zachodniopomorskie,949767
Białystok,Białystok,Białystok,podlaskie,922410
Biecz,Biecz,gorlicki,małopolskie,952752
Bielawa,Bielawa,dzierżoniowski,dolnośląskie,983818
Bielsk Podlaski,Bielsk Podlaski m,bielski,podlaskie,922685
Bielsko-Biała,Bielsko-Biała,Bielsko-Biała,śląskie,923584
Bieruń,Bieruń,bieruńsko-lędziński,śląskie,938077
Bierutów,Bierutów,oleśnicki,dolnośląskie,987035
Bieżuń,Bieżuń,żuromiński,mazowieckie,111981
Biłgoraj,Biłgoraj m,biłgorajski,lubelskie,987673
Biskupiec,Biskupiec,olsztyński,warmińsko-mazurskie,964590
Bisztynek,Bisztynek,bartoszycki,warmińsko-mazurskie,964608
Blachownia,Blachownia,częstochowski,śląskie,931365
Błaszki,Błaszki,sieradzki,łódzkie,976267
Błażowa,Błażowa,rzeszowski,podkarpackie,974280
Błonie,Błonie,warszawski zachodni,mazowieckie,920249
Bobolice,Bobolice,koszaliński,zachodniopomorskie,949804
Bobowa,Bobowa,gorlicki,małopolskie,417728
Bochnia,Bochnia m,bocheński,małopolskie,981682
Bodzentyn,Bodzentyn,kielecki,świętokrzyskie,230102
Bogatynia,Bogatynia,zgorzelecki,dolnośląskie,935908
Boguchwała,Boguchwała,rzeszowski,podkarpackie,644750
Boguszów-Gorce,Boguszów-Gorce,wałbrzyski,dolnośląskie,983824
Bojanowo,Bojanowo,rawicki,wielkopolskie,954308
Bolesławiec,Bolesławiec m,bolesławiecki,dolnośląskie,935989
Bolków,Bolków,jaworski,dolnośląskie,935995
Borek Wielkopolski,Borek Wielkopolski,gostyński,wielkopolskie,954343
Borne Sulinowo,Borne Sulinowo,szczecinecki,zachodniopomorskie,988715
Braniewo,Braniewo m,braniewski,warmińsko-mazurskie,932710
Brańsk,Brańsk m,bielski,podlaskie,922745
Brodnica,Brodnica m,brodnicki,kujawsko-pomorskie,982954
Brok,Brok,ostrowski,mazowieckie,966151
Brusy,Brusy,chojnicki,pomorskie,928848
Brwinów,Brwinów,pruszkowski,mazowieckie,920284
Brzeg,Brzeg,brzeski,opolskie,965252
Brzeg Dolny,Brzeg Dolny,wołowski,dolnośląskie,987064
Brzesko,Brzesko,brzeski,małopolskie,981966
Brzeszcze,Brzeszcze,oświęcimski,małopolskie,938120
Brześć Kujawski,Brześć Kujawski,włocławski,kujawsko-pomorskie,985444
Brzeziny,Brzeziny m,brzeziński,łódzkie,977025
Brzostek,Brzostek,dębicki,podkarpackie,814493
Brzozów,Brzozów,brzozowski,podkarpackie,952841
Buk,Buk,poznański,wielkopolskie,970520
Bukowno,Bukowno,olkuski,małopolskie,938404
Busko-Zdrój,Busko-Zdrój,buski,świętokrzyskie,946651
Bychawa,Bychawa,lubelski,lubelskie,955621
Byczyna,Byczyna,kluczborski,opolskie,965275
Bydgoszcz,Bydgoszcz,Bydgoszcz,kujawsko-pomorskie,928363
Bystrzyca Kłodzka,Bystrzyca Kłodzka,kłodzki,dolnośląskie,983899
Bytom,Bytom,Bytom,śląskie,938670
Bytom Odrzański,Bytom Odrzański,nowosolski,lubuskie,988359
Bytów,Bytów,bytowski,pomorskie,977290
Cedynia,Cedynia,gryfiński,zachodniopomorskie,978734
Chełm,Chełm m,Chełm,lubelskie,929902
Chełmek,Chełmek,oświęcimski,małopolskie,924098
Chełmno,Chełmno m,chełmiński,kujawsko-pomorskie,983066
Chełmża,Chełmża m,toruński,kujawsko-pomorskie,983126
Chęciny,Chęciny,kielecki,świętokrzyskie,946846
Chmielnik,Chmielnik,kielecki,świętokrzyskie,946906
Chocianów,Chocianów,polkowicki,dolnośląskie,954060
Chociwel,Chociwel,stargardzki,zachodniopomorskie,978757
Chocz,Chocz,pleszewski,wielkopolskie,195564
Chodecz,Chodecz,włocławski,kujawsko-pomorskie,985562
Chodzież,Chodzież m,chodzieski,wielkopolskie,966760
Chojna,Chojna,gryfiński,zachodniopomorskie,978786
Chojnice,Chojnice m,chojnicki,pomorskie,928854
Chojnów,Chojnów m,legnicki,dolnośląskie,954076
Choroszcz,Choroszcz,białostocki,podlaskie,922811
Chorzele,Chorzele,przasnyski,mazowieckie,966270
Chorzów,Chorzów,Chorzów,śląskie,938887
Choszczno,Choszczno,choszczeński,zachodniopomorskie,935280
Chrzanów,Chrzanów,chrzanowski,małopolskie,938982
Ciechanowiec,Ciechanowiec,wysokomazowiecki,podlaskie,957324
Ciechanów,Ciechanów m,ciechanowski,mazowieckie,930414
Ciechocinek,Ciechocinek,aleksandrowski,kujawsko-pomorskie,985616
Cieszanów,Cieszanów,lubaczowski,podkarpackie,972051
Cieszyn,Cieszyn,cieszyński,śląskie,924158
Ciężkowice,Ciężkowice,tarnowski,małopolskie,815239
Cybinka,Cybinka,słubicki,lubuskie,988365
Czaplinek,Czaplinek,drawski,zachodniopomorskie,949810
Czarna Białostocka,Czarna Białostocka,białostocki,podlaskie,922886
Czarna Woda,Czarna Woda,starogardzki,pomorskie,162139
Czarne,Czarne,człuchowski,pomorskie,977309
Czarnków,Czarnków m,czarnkowsko-trzcianecki,wielkopolskie,966777
Czchów,Czchów,brzeski,małopolskie,816871
Czechowice-Dziedzice,Czechowice-Dziedzice,bielski,śląskie,939094
Czeladź,Czeladź,będziński,śląskie,939349
Czempiń,Czempiń,kościański,wielkopolskie,970537
Czerniejewo,Czerniejewo,gnieźnieński,wielkopolskie,970543
Czersk,Czersk,chojnicki,pomorskie,928920
Czerwieńsk,Czerwieńsk,zielonogórski,lubuskie,988371
Czerwionka-Leszczyny,Czerwionka-Leszczyny,rybnicki,śląskie,939409
Częstochowa,Częstochowa,Częstochowa,śląskie,930868
Człopa,Człopa,wałecki,zachodniopomorskie,966808
Człuchów,Człuchów m,człuchowski,pomorskie,977321
Czyżew,Czyżew,wysokomazowiecki,podlaskie,395984
Ćmielów,Ćmielów,ostrowiecki,świętokrzyskie,980435
Daleszyce,Daleszyce,kielecki,świętokrzyskie,236429
Darłowo,Darłowo m,sławieński,zachodniopomorskie,949833
Dąbie,Dąbie,kolski,wielkopolskie,948992
Dąbrowa Białostocka,Dąbrowa Białostocka,sokólski,podlaskie,922923
Dąbrowa Górnicza,Dąbrowa Górnicza,Dąbrowa Górnicza,śląskie,939473
